vid_id,elapsed_time_ratio,audience_watch_ratio,relative_retention_performance,year
zG5DYRKRrRI,0.01,1.0103,0.6659,2020
zG5DYRKRrRI,0.02,0.8763,0.7535,2020
zG5DYRKRrRI,0.03,0.8763,0.81365,2020
zG5DYRKRrRI,0.04,0.8041,0.8382,2020
zG5DYRKRrRI,0.05,0.8247,0.85325,2020
zG5DYRKRrRI,0.06,0.8144,0.86645,2020
zG5DYRKRrRI,0.07,0.8144,0.87785,2020
zG5DYRKRrRI,0.08,0.8351,0.8872,2020
zG5DYRKRrRI,0.09,0.8247,0.89445,2020
zG5DYRKRrRI,0.1,0.8351,0.8996,2020
zG5DYRKRrRI,0.11,0.8041,0.9029,2020
zG5DYRKRrRI,0.12,0.7835,0.9051,2020
zG5DYRKRrRI,0.13,0.8041,0.90655,2020
zG5DYRKRrRI,0.14,0.7938,0.90715,2020
zG5DYRKRrRI,0.15,0.7732,0.90715,2020
zG5DYRKRrRI,0.16,0.7732,0.90735,2020
zG5DYRKRrRI,0.17,0.7732,0.90855,2020
zG5DYRKRrRI,0.18,0.7629,0.91125,2020
zG5DYRKRrRI,0.19,0.7526,0.916,2020
zG5DYRKRrRI,0.2,0.7423,0.922,2020
zG5DYRKRrRI,0.21,0.7629,0.92695,2020
zG5DYRKRrRI,0.22,0.7835,0.9296,2020
zG5DYRKRrRI,0.23,0.8247,0.93055,2020
zG5DYRKRrRI,0.24,0.8144,0.9292,2020
zG5DYRKRrRI,0.25,0.7732,0.92095,2020
zG5DYRKRrRI,0.26,0.7113,0.9,2020
zG5DYRKRrRI,0.27,0.732,0.86815,2020
zG5DYRKRrRI,0.28,0.7113,0.83465,2020
zG5DYRKRrRI,0.29,0.7113,0.8114,2020
zG5DYRKRrRI,0.3,0.6392,0.81025,2020
zG5DYRKRrRI,0.31,0.6598,0.83355,2020
zG5DYRKRrRI,0.32,0.701,0.86675,2020
zG5DYRKRrRI,0.33,0.7216,0.89085,2020
zG5DYRKRrRI,0.34,0.8454,0.8998,2020
zG5DYRKRrRI,0.35,0.8247,0.9001,2020
zG5DYRKRrRI,0.36,0.7629,0.89645,2020
zG5DYRKRrRI,0.37,0.701,0.885,2020
zG5DYRKRrRI,0.38,0.6804,0.8599,2020
zG5DYRKRrRI,0.39,0.6392,0.8215,2020
zG5DYRKRrRI,0.4,0.6289,0.7789,2020
zG5DYRKRrRI,0.41,0.6186,0.74495,2020
zG5DYRKRrRI,0.42,0.5979,0.72535,2020
zG5DYRKRrRI,0.43,0.5876,0.7154,2020
zG5DYRKRrRI,0.44,0.5567,0.7082,2020
zG5DYRKRrRI,0.45,0.6186,0.70435,2020
zG5DYRKRrRI,0.46,0.6392,0.7102,2020
zG5DYRKRrRI,0.47,0.6289,0.7255,2020
zG5DYRKRrRI,0.48,0.6186,0.7396,2020
zG5DYRKRrRI,0.49,0.6186,0.74285,2020
zG5DYRKRrRI,0.5,0.6598,0.73675,2020
zG5DYRKRrRI,0.51,0.5979,0.7299,2020
