vid_id,elapsed_time_ratio,audience_watch_ratio,relative_retention_performance,year
7g35w-sL_JA,0.01,1.0265,0.72075,2021
7g35w-sL_JA,0.02,0.8584,0.8252,2021
7g35w-sL_JA,0.03,0.8496,0.90135,2021
7g35w-sL_JA,0.04,0.8761,0.9334,2021
7g35w-sL_JA,0.05,0.9027,0.9459,2021
7g35w-sL_JA,0.06,0.9027,0.94975,2021
7g35w-sL_JA,0.07,0.9204,0.9504,2021
7g35w-sL_JA,0.08,0.885,0.95045,2021
7g35w-sL_JA,0.09,0.8761,0.9504,2021
7g35w-sL_JA,0.1,0.8496,0.95035,2021
7g35w-sL_JA,0.11,0.8319,0.9503,2021
7g35w-sL_JA,0.12,0.8407,0.95025,2021
7g35w-sL_JA,0.13,0.8319,0.95015,2021
7g35w-sL_JA,0.14,0.8584,0.95,2021
7g35w-sL_JA,0.15,0.8496,0.9493,2021
7g35w-sL_JA,0.16,0.8407,0.94705,2021
7g35w-sL_JA,0.17,0.7965,0.94275,2021
7g35w-sL_JA,0.18,0.7965,0.9374,2021
7g35w-sL_JA,0.19,0.7876,0.93185,2021
7g35w-sL_JA,0.2,0.823,0.92545,2021
7g35w-sL_JA,0.21,0.7965,0.91675,2021
7g35w-sL_JA,0.22,0.7788,0.90655,2021
7g35w-sL_JA,0.23,0.7522,0.8988,2021
7g35w-sL_JA,0.24,0.7257,0.8971,2021
7g35w-sL_JA,0.25,0.7345,0.89935,2021
7g35w-sL_JA,0.26,0.8053,0.89995,2021
7g35w-sL_JA,0.27,0.8496,0.89835,2021
7g35w-sL_JA,0.28,0.8407,0.8967,2021
7g35w-sL_JA,0.29,0.823,0.89555,2021
7g35w-sL_JA,0.3,0.8142,0.89475,2021
7g35w-sL_JA,0.31,0.7965,0.89425,2021
7g35w-sL_JA,0.32,0.8142,0.8941,2021
7g35w-sL_JA,0.33,0.7876,0.89415,2021
7g35w-sL_JA,0.34,0.7699,0.8941,2021
7g35w-sL_JA,0.35,0.7699,0.8939,2021
7g35w-sL_JA,0.36,0.7345,0.8936,2021
7g35w-sL_JA,0.37,0.7611,0.893,2021
7g35w-sL_JA,0.38,0.7876,0.89195,2021
7g35w-sL_JA,0.39,0.8319,0.89055,2021
7g35w-sL_JA,0.4,0.8319,0.88865,2021
7g35w-sL_JA,0.41,0.8584,0.88605,2021
7g35w-sL_JA,0.42,0.8673,0.8828,2021
7g35w-sL_JA,0.43,0.8496,0.8788,2021
7g35w-sL_JA,0.44,0.7522,0.87355,2021
7g35w-sL_JA,0.45,0.7434,0.8655,2021
7g35w-sL_JA,0.46,0.6991,0.8531,2021
7g35w-sL_JA,0.47,0.6814,0.83745,2021
7g35w-sL_JA,0.48,0.708,0.82075,2021
7g35w-sL_JA,0.49,0.6814,0.8044,2021
7g35w-sL_JA,0.5,0.6637,0.79115,2021
7g35w-sL_JA,0.51,0.6549,0.7843,2021
7g35w-sL_JA,0.52,0.6549,0.786,2021
7g35w-sL_JA,0.53,0.6549,0.79465,2021
7g35w-sL_JA,0.54,0.6637,0.80345,2021
7g35w-sL_JA,0.55,0.6814,0.8068,2021
