vid_id,elapsed_time_ratio,audience_watch_ratio,relative_retention_performance,year
fS8JmmjCg4Y,0.01,0.971,0.6744,2021
fS8JmmjCg4Y,0.02,0.7536,0.77085,2021
fS8JmmjCg4Y,0.03,0.6957,0.8447,2021
fS8JmmjCg4Y,0.04,0.6594,0.88535,2021
fS8JmmjCg4Y,0.05,0.6304,0.91265,2021
fS8JmmjCg4Y,0.06,0.6594,0.93065,2021
fS8JmmjCg4Y,0.07,0.6812,0.9403,2021
fS8JmmjCg4Y,0.08,0.6522,0.9436,2021
fS8JmmjCg4Y,0.09,0.6739,0.9439,2021
fS8JmmjCg4Y,0.1,0.7246,0.94335,2021
fS8JmmjCg4Y,0.11,0.6667,0.9423,2021
fS8JmmjCg4Y,0.12,0.7029,0.9406,2021
fS8JmmjCg4Y,0.13,0.7174,0.9382,2021
fS8JmmjCg4Y,0.14,0.7029,0.935,2021
fS8JmmjCg4Y,0.15,0.6377,0.9311,2021
fS8JmmjCg4Y,0.16,0.6304,0.9264,2021
fS8JmmjCg4Y,0.17,0.6957,0.9207,2021
fS8JmmjCg4Y,0.18,0.6957,0.91405,2021
fS8JmmjCg4Y,0.19,0.7029,0.907,2021
fS8JmmjCg4Y,0.2,0.6812,0.90005,2021
fS8JmmjCg4Y,0.21,0.6957,0.8935,2021
fS8JmmjCg4Y,0.22,0.7101,0.88795,2021
fS8JmmjCg4Y,0.23,0.7029,0.8839,2021
fS8JmmjCg4Y,0.24,0.7029,0.88165,2021
fS8JmmjCg4Y,0.25,0.7101,0.8814,2021
fS8JmmjCg4Y,0.26,0.5942,0.88305,2021
fS8JmmjCg4Y,0.27,0.558,0.8865,2021
fS8JmmjCg4Y,0.28,0.6232,0.89135,2021
fS8JmmjCg4Y,0.29,0.6304,0.8969,2021
fS8JmmjCg4Y,0.3,0.6087,0.90235,2021
fS8JmmjCg4Y,0.31,0.6159,0.90725,2021
fS8JmmjCg4Y,0.32,0.6159,0.9115,2021
fS8JmmjCg4Y,0.33,0.6087,0.91475,2021
fS8JmmjCg4Y,0.34,0.6087,0.9167,2021
fS8JmmjCg4Y,0.35,0.6232,0.9172,2021
fS8JmmjCg4Y,0.36,0.6087,0.91625,2021
fS8JmmjCg4Y,0.37,0.6449,0.9139,2021
fS8JmmjCg4Y,0.38,0.6594,0.91035,2021
fS8JmmjCg4Y,0.39,0.6739,0.90575,2021
fS8JmmjCg4Y,0.4,0.7101,0.9002,2021
fS8JmmjCg4Y,0.41,0.6884,0.89365000000000006,2021
fS8JmmjCg4Y,0.42,0.6739,0.88645,2021
fS8JmmjCg4Y,0.43,0.6232,0.87935,2021
fS8JmmjCg4Y,0.44,0.6232,0.87265,2021
fS8JmmjCg4Y,0.45,0.6449,0.86665,2021
fS8JmmjCg4Y,0.46,0.6667,0.86195,2021
fS8JmmjCg4Y,0.47,0.6667,0.8588,2021
fS8JmmjCg4Y,0.48,0.6232,0.85725,2021
fS8JmmjCg4Y,0.49,0.6087,0.8573,2021
fS8JmmjCg4Y,0.5,0.5797,0.859,2021
fS8JmmjCg4Y,0.51,0.558,0.862,2021
fS8JmmjCg4Y,0.52,0.5217,0.8661,2021
fS8JmmjCg4Y,0.53,0.6014,0.87085,2021
fS8JmmjCg4Y,0.54,0.6449,0.8758,2021
fS8JmmjCg4Y,0.55,0.6304,0.8806,2021
fS8JmmjCg4Y,0.56,0.5942,0.8849,2021
fS8JmmjCg4Y,0.57,0.587,0.88865,2021
fS8JmmjCg4Y,0.58,0.5942,0.8919,2021
fS8JmmjCg4Y,0.59,0.5725,0.8943,2021
fS8JmmjCg4Y,0.6,0.5797,0.89565,2021
fS8JmmjCg4Y,0.61,0.5652,0.89585,2021
fS8JmmjCg4Y,0.62,0.6014,0.89515,2021
fS8JmmjCg4Y,0.63,0.6304,0.8937,2021
fS8JmmjCg4Y,0.64,0.6594,0.89165,2021
